transaction_id,account_id,amount,currency,merchant_category_code,created_at
4918f7c9-9693-4e39-b6e2-371e95b75cea,acct-470,91492.04,USD,2149,2026-09-19 09:06:15.580694+00:00
2b6dc08f-73b9-462a-b021-28088e769208,acct-406,872.42,EUR,6107,2026-09-19 09:06:15.580694+00:00
51549b64-ca4f-4754-96c9-b1d38784d326,acct-371,16315.04,USD,5028,2026-09-19 09:06:15.580694+00:00
c7a91be2-7e52-4576-89e4-be407a954898,acct-244,20399.58,GBP,7635,2026-09-19 09:06:15.580694+00:00
2d18da91-7bb4-44c8-bb84-5cf98d1cc744,acct-587,69089.13,INR,9382,2026-09-19 09:06:15.580694+00:00
e4a45b0a-5ae2-49b8-825c-fb0f97ab3d51,acct-869,3389.97,EUR,3643,2026-09-19 09:06:15.580694+00:00
81161574-d840-4087-96d7-22bded3c06ca,acct-738,60225.8,GBP,4,2026-09-19 09:06:15.580694+00:00
6adbde82-f3b3-4809-8357-d73d5f569ed9,acct-388,23722.79,USD,6931,2026-09-19 09:06:15.580694+00:00
989d531c-a9cb-4196-b8c3-4f729b3c557a,acct-705,81532.17,EUR,685,2026-09-19 09:06:15.580694+00:00
bbf70feb-b832-4398-8222-0bca1e769090,acct-149,29746.38,GBP,6335,2026-09-19 09:06:15.580694+00:00
358bedbe-0e11-4d88-981c-76668869b601,acct-230,2348.33,USD,4831,2026-09-19 09:06:15.580694+00:00
173ab9e2-8206-4826-881f-f6fa9e06afe0,acct-409,4917.48,GBP,6032,2026-09-19 09:06:15.580694+00:00
24017830-465d-4a11-878d-4ea61f56664c,acct-750,94060.12,INR,9288,2026-09-19 09:06:15.580694+00:00
883c391c-989b-4037-ac9e-39d25bc71d24,acct-867,88485.42,EUR,8305,2026-09-19 09:06:15.580694+00:00
ca554c96-4442-4f36-af16-400c9cc30912,acct-614,31720.91,USD,5209,2026-09-19 09:06:15.580694+00:00
20ea359b-c5da-4f3a-b13a-7ac1d2f7e29a,acct-457,28060.92,GBP,7201,2026-09-19 09:06:15.580694+00:00
3233bb9d-60c3-488d-827d-b96cf028e94c,acct-355,3306.95,INR,5626,2026-09-19 09:06:15.580694+00:00
c896de3b-10f3-443b-80d6-480d5663a39d,acct-970,48763.06,INR,7186,2026-09-19 09:06:15.580694+00:00
ca9a1933-2f5c-4df5-862d-4f999913750e,acct-501,43072.75,USD,8757,2026-09-19 09:06:15.580694+00:00
31ae1bed-8c5b-474a-9df1-54b0e5763145,acct-420,75509.23,INR,822,2026-09-19 09:06:15.580694+00:00
bc79d0d3-8382-4602-9f0e-9b28b7586681,acct-51,18296.12,EUR,5518,2026-09-19 09:06:15.580694+00:00
6d57b1bc-a862-4938-96f7-622e232c21fc,acct-492,40046.81,INR,8165,2026-09-19 09:06:15.580694+00:00
8903487f-f47c-48b4-8d42-af860a1cba8d,acct-999,33205.54,GBP,154,2026-09-19 09:06:15.580694+00:00
0e4e6409-81e5-4882-94e7-c0159be21e26,acct-821,98979.26,USD,7831,2026-09-19 09:06:15.580694+00:00
88d2e100-63ba-4278-b42e-41768cf7057e,acct-227,61824.25,USD,4605,2026-09-19 09:06:15.580694+00:00
90fa9170-f142-49b7-af80-27c995bd682f,acct-603,17042.62,EUR,1725,2026-09-19 09:06:15.580694+00:00
170f4143-c7b8-437c-bbf8-68a172b4216e,acct-262,67240.04,GBP,2552,2026-09-19 09:06:15.580694+00:00
0e101f4b-71ab-4416-bbe7-37b8a77b34bc,acct-903,51130.76,INR,4001,2026-09-19 09:06:15.580694+00:00
76271f1c-daf7-445a-b281-aeeaaae0d2bd,acct-409,24141.99,USD,6061,2026-09-19 09:06:15.580694+00:00
1e208689-26cb-4486-847e-c93bb44221aa,acct-976,80728.13,USD,6093,2026-09-19 09:06:15.580694+00:00
c026b854-65d6-4991-bcab-d7635a90d0d0,acct-912,10265.82,INR,8940,2026-09-19 09:06:15.580694+00:00
51297901-b0d2-4c79-896e-0c423945d2e9,acct-823,70658.61,EUR,3715,2026-09-19 09:06:15.580694+00:00
c08925e1-fddc-4d3d-8f33-5c1a8e7f72ed,acct-850,38562.99,USD,2897,2026-09-19 09:06:15.580694+00:00
10bfdb9d-5586-4c53-85cd-69274938bfc7,acct-988,16484.96,USD,9563,2026-09-19 09:06:15.580694+00:00
4e4a9c94-e726-411d-b8fb-16ab522af31f,acct-138,71716.19,INR,3801,2026-09-19 09:06:15.580694+00:00
44e30699-ca5e-4685-85fa-1d4f90502f96,acct-446,32357.31,EUR,2441,2026-09-19 09:06:15.580694+00:00
f650c3b4-28f6-4ca8-a221-cbf6c33f2eb2,acct-819,55088.16,INR,9073,2026-09-19 09:06:15.580694+00:00
2e760b8b-8012-403b-a684-2fd832d26b4c,acct-272,60444.4,INR,987,2026-09-19 09:06:15.580694+00:00
69a4bb1a-d58e-4295-b46f-1eb53683cd61,acct-364,7365.17,USD,2977,2026-09-19 09:06:15.580694+00:00
bfd41952-c538-4e52-863e-3b36c5c1d422,acct-480,82080.21,EUR,7559,2026-09-19 09:06:15.580694+00:00
33c61611-c03c-45a0-a5e0-67f25c148ed6,acct-485,87481.17,GBP,5597,2026-09-19 09:06:15.580694+00:00
a273d0f9-d592-4ace-bcb7-5f7fb5aea92a,acct-772,992.31,INR,8924,2026-09-19 09:06:15.580694+00:00
155680cb-0d23-4112-bff5-6fd6a3faa02a,acct-437,19736.51,INR,7998,2026-09-19 09:06:15.580694+00:00
1ab29b7b-0b30-4e30-9fdc-ac238b016d3a,acct-774,75947.6,INR,3978,2026-09-19 09:06:15.580694+00:00
12ea92db-da86-46eb-93d5-4dda4312e460,acct-849,62661.13,GBP,6019,2026-09-19 09:06:15.580694+00:00
7f1fa661-447b-4d8b-90a0-e32f02606545,acct-129,20697.93,INR,5647,2026-09-19 09:06:15.580694+00:00
d7135500-120b-4094-8875-54b8c8204a57,acct-977,31291.73,EUR,7883,2026-09-19 09:06:15.580694+00:00
c6cf0138-cb4c-4962-be57-e50193a490d9,acct-410,69880.88,INR,4269,2026-09-19 09:06:15.580694+00:00
2c154bfa-ff14-4027-b868-3ddd18caaca2,acct-915,93280.05,INR,176,2026-09-19 09:06:15.580694+00:00
eb7a5a59-00f2-4366-8e30-abcda8c0b7c0,acct-945,45862.9,GBP,5672,2026-09-19 09:06:15.580694+00:00
a1af50d1-c674-4738-a916-bd156bc556bf,acct-433,65293.52,INR,1162,2026-09-19 09:06:15.580694+00:00
543b47cb-7bc8-43a0-bb5a-b04e6bb981b6,acct-1000,83291.19,INR,201,2026-09-19 09:06:15.580694+00:00
7f8bcd3e-76e4-458e-acbf-b954e369ea74,acct-121,44299.67,INR,8547,2026-09-19 09:06:15.580694+00:00
0ca7e0da-86fc-43e0-a5e1-ed153ec24d2b,acct-150,62942.55,USD,8756,2026-09-19 09:06:15.580694+00:00
80d2fa33-d1a0-4d6e-a446-7e8774e8ac02,acct-959,41869.84,USD,3923,2026-09-19 09:06:15.580694+00:00
4489f8e1-a5d0-40ee-96bc-2379f3d7d1e7,acct-748,52582.91,USD,5781,2026-09-19 09:06:15.580694+00:00
5d69f6d2-880a-47e1-9fe0-c8dfe192bd21,acct-375,49241.84,GBP,7766,2026-09-19 09:06:15.580694+00:00
99db863c-fccb-4ef0-9c94-1a537055c46e,acct-667,13787.76,GBP,3393,2026-09-19 09:06:15.580694+00:00
c5c39aed-c799-4ae1-b2a3-e5b9102d0874,acct-719,57737.79,INR,5541,2026-09-19 09:06:15.580694+00:00
43a22153-b76e-4f4b-95ab-7d2eb30daca7,acct-622,27516.11,INR,9682,2026-09-19 09:06:15.580694+00:00
cfe8e868-f0f0-4ac5-97c4-5089fb6a2845,acct-903,56837.78,USD,1639,2026-09-19 09:06:15.580694+00:00
c4da54d0-a597-48ee-86df-f307fdb4740e,acct-381,89705.74,GBP,105,2026-09-19 09:06:15.580694+00:00
f0fe357f-9ca9-434e-b7df-8d470dcdfe61,acct-181,16666.56,USD,9186,2026-09-19 09:06:15.580694+00:00
de02aae4-2119-4ab7-944d-8b894b30eadd,acct-626,55591.47,GBP,6391,2026-09-19 09:06:15.580694+00:00
f6041136-e338-4065-915d-1cdb60d085b8,acct-756,50528.54,INR,2933,2026-09-19 09:06:15.580694+00:00
9a963cce-623b-4f29-b50f-90700fea1d8c,acct-772,33512.24,USD,771,2026-09-19 09:06:15.580694+00:00
49cad0be-07e4-40b8-8931-7039c2908d05,acct-245,20504.86,EUR,5663,2026-09-19 09:06:15.580694+00:00
4489b80e-17da-4767-8ada-2a4a3c9edaa5,acct-191,69375.35,INR,9771,2026-09-19 09:06:15.580694+00:00
baf17a5f-bbff-49e8-8727-1e6fd41fdd97,acct-517,83723.7,EUR,3955,2026-09-19 09:06:15.580694+00:00
